filename,MAX_netuid,MAX_block_number,MAX_timestamp,MIN_daily_reward,MIN_NON_IMMUNE_daily_reward,UID_152_daily_reward,UID_155_daily_reward,MAX_NON_VALI_daily_reward,COUNT_NON_IMMUNE_daily_reward_less_UID_152,COUNT_NON_IMMUNE_daily_reward_less_UID_155,COUNT_NON_VALI_daily_reward_greater_UID_152,COUNT_NON_VALI_daily_reward_greater_UID_155
taostats_data_24_11_24_07_13.csv,45,4334043,2024 11 24 07 13,0.05727464,0.05727464,0.19067172,0.163756,0.3316909,108,37,127,201
taostats_data_24_11_24_06_06.csv,45,4333710,2024 11 24 06 06,0.08544768,0.08544768,0.24389418,0.16367934,0.38643102,213,39,19,199
taostats_data_24_11_24_07_18.csv,45,4334070,2024 11 24 07 18,0.05727464,0.05727464,0.19067172,0.163756,0.3316909,108,37,127,201
taostats_data_24_11_24_08_22.csv,45,4334390,2024 11 24 08 22,0.0531241,0.0531241,0.18132006,0.16344718,0.29500504,76,35,158,203
taostats_data_24_11_24_06_24.csv,45,4333801,2024 11 24 06 24,0.05727464,0.05727464,0.19067172,0.163756,0.3316909,108,37,127,201
taostats_data_24_11_24_07_33.csv,45,4334147,2024 11 24 07 33,0.0531241,0.0531241,0.18132006,0.16344718,0.29500504,76,35,158,203
taostats_data_24_11_24_08_09.csv,45,4334326,2024 11 24 08 09,0.0531241,0.0531241,0.18132006,0.16344718,0.29500504,76,35,158,203
taostats_data_24_11_24_15_26.csv,45,4336511,2024 11 24 15 26,0.08327244,0.08327244,0.09183434,0.18615138,0.3375381,1,96,238,138
taostats_data_24_11_24_07_07.csv,45,4334016,2024 11 24 07 07,0.05727464,0.05727464,0.19067172,0.163756,0.3316909,108,37,127,201
taostats_data_24_11_24_08_04.csv,45,4334298,2024 11 24 08 04,0.0531241,0.0531241,0.18132006,0.16344718,0.29500504,76,35,158,203
taostats_data_24_11_24_06_12.csv,45,4333738,2024 11 24 06 12,0.08544768,0.08544768,0.24389418,0.16367934,0.38643102,213,39,19,199
taostats_data_24_11_24_07_28.csv,45,4334120,2024 11 24 07 28,0.0531241,0.0531241,0.18132006,0.16344718,0.29500504,76,35,158,203
taostats_data_24_11_24_07_46.csv,45,4334208,2024 11 24 07 46,0.0531241,0.0531241,0.18132006,0.16344718,0.29500504,76,35,158,203
taostats_data_24_11_24_07_38.csv,45,4334172,2024 11 24 07 38,0.0531241,0.0531241,0.18132006,0.16344718,0.29500504,76,35,158,203
taostats_data_24_11_24_07_57.csv,45,4334267,2024 11 24 07 57,0.0531241,0.0531241,0.18132006,0.16344718,0.29500504,76,35,158,203
taostats_data_24_11_24_07_02.csv,45,4333988,2024 11 24 07 02,0.05727464,0.05727464,0.19067172,0.163756,0.3316909,108,37,127,201
taostats_data_24_11_24_06_42.csv,45,4333892,2024 11 24 06 42,0.05727464,0.05727464,0.19067172,0.163756,0.3316909,108,37,127,201
taostats_data_24_11_24_08_28.csv,45,4334420,2024 11 24 08 28,0.0531241,0.0531241,0.18132006,0.16344718,0.29500504,76,35,158,203
taostats_data_24_11_24_05_57.csv,45,4333665,2024 11 24 05 57,0.08544768,0.08544768,0.24389418,0.16367934,0.38643102,213,39,19,199
taostats_data_24_11_24_06_17.csv,45,4333765,2024 11 24 06 17,0.05727464,0.05727464,0.19067172,0.163756,0.3316909,108,37,127,201
taostats_data_24_11_24_07_52.csv,45,4334239,2024 11 24 07 52,0.0531241,0.0531241,0.18132006,0.16344718,0.29500504,76,35,158,203
taostats_data_24_11_24_06_30.csv,45,4333828,2024 11 24 06 30,0.05727464,0.05727464,0.19067172,0.163756,0.3316909,108,37,127,201
taostats_data_24_11_24_08_15.csv,45,4334356,2024 11 24 08 15,0.0531241,0.0531241,0.18132006,0.16344718,0.29500504,76,35,158,203
taostats_data_24_11_24_06_36.csv,45,4333860,2024 11 24 06 36,0.05727464,0.05727464,0.19067172,0.163756,0.3316909,108,37,127,201
